phi,V_theta,V_phi,metric_norm
0.0,1.0,0.0,1.0
0.2617993877991494,0.9915276622828566,-0.1497489392209338,0.9999999999999551
0.5235987755982988,0.9662542101443027,-0.2969604312701402,0.9999999999999103
0.7853981633974483,0.9246078940279296,-0.4391400251946617,0.9999999999998658
1.0471975511965976,0.8672943972433603,-0.5738785339220819,0.9999999999998211
1.3089969389957472,0.7952848783916099,-0.6988928571535273,0.9999999999997766
1.5707963267948966,0.7097995153977952,-0.8120646677572164,0.999999999999732
1.8325957145940461,0.612286829992222,-0.9114763061341702,0.9999999999996874
2.0943951023931953,0.504399142979806,-0.9954432743377106,0.9999999999996427
2.356194490192345,0.3879645762003195,-1.0625427793444364,0.9999999999995979
2.6179938779914944,0.264956075597163,-1.1116378418202153,0.9999999999995531
2.8797932657906435,0.13745798028870523,-1.1418965618659749,0.9999999999995084
3.141592653589793,0.007630704118426288,-1.1528062152914866,0.9999999999994633
3.4033920413889427,-0.12232587185646217,-1.1441819415603587,0.9999999999994187
3.6651914291880923,-0.2502096756355261,-1.1161698761918217,0.9999999999993742
3.9269908169872414,-0.37385375767043866,-1.0692446745417887,0.9999999999993294
4.1887902047863905,-0.4911630091217596,-1.0042014689219059,0.999999999999285
4.4505895925855405,-0.6001496627982188,-0.9221423953406025,0.9999999999992403
4.71238898038469,-0.698966975226609,-0.8244579181661474,0.9999999999991958
4.974188368183839,-0.7859405191205531,-0.7128032691592217,0.999999999999151
5.235987755982989,-0.8595965560074074,-0.5890704001079675,0.9999999999991062
5.497787143782138,-0.9186870082483559,-0.45535592431900307,0.9999999999990616
5.759586531581287,-0.9622106073089168,-0.3139255901854262,0.9999999999990168
6.021385919380437,-0.9894298599292828,-0.16717588881568068,0.999999999998972
6.283185307179586,-0.9998835447082416,-0.017593446269543615,0.9999999999989275
