mean_estimate,method,rmse,sample_count,sample_variance
7.937716859446839,bad importance,2.567302849572345,8,6.612597800287764
7.7999298114014,uniform importance,1.6746225532202064,8,2.775005714288995
8.029058642366023,shape importance,0.9149261457149259,8,0.8394741943178359
8.0,matched importance,0.0,8,0.0
7.9862931897969265,stratified uniform,0.20762079375557005,8,0.04308422591496126
8.130130151080213,bad importance,1.8108944039042576,16,3.2750008429599045
8.049085753151418,uniform importance,1.1582159728533177,16,1.344224924473475
8.051051508850483,shape importance,0.6352147968345354,16,0.4024394255058828
8.0,matched importance,0.0,16,0.0
8.012116386471552,stratified uniform,0.06902251395382417,16,0.004635128026865736
7.852253709629514,bad importance,1.163628315815019,32,1.3373455276932313
7.981051523531655,uniform importance,0.8864859501458048,32,0.7885311069954213
8.018807435049329,shape importance,0.46424918412757904,32,0.21600437139381037
8.0,matched importance,0.0,32,0.0
7.999259743332543,stratified uniform,0.025316112394185544,32,0.0006428299898592396
7.920939257570341,bad importance,1.0274864840074402,64,1.0535299119473172
8.015723130824671,uniform importance,0.5254982396277039,64,0.276966438541739
8.001212273931412,shape importance,0.3220423777998899,64,0.10411024751984473
8.0,matched importance,0.0,64,0.0
7.999662156976085,stratified uniform,0.009475594383888501,64,9.001897785708306e-05
7.99435450398302,bad importance,0.6462058889631108,128,0.41916234215978715
8.012453690019003,uniform importance,0.4363292249266724,128,0.19096256955137275
7.992346069981669,shape importance,0.221541989836581,128,0.049211545792149924
8.0,matched importance,0.0,128,0.0
8.000300959759432,stratified uniform,0.003143112629360507,128,9.82637397008649e-06
8.053047746397814,bad importance,0.4312877944564079,256,0.18390241523084294
7.995704892432723,uniform importance,0.29992223990997524,256,0.0902821410476316
8.019090959252239,shape importance,0.16224542601816752,256,0.026059341776246955
8.0,matched importance,0.0,256,0.0
7.999935598711597,stratified uniform,0.0011305332276590418,256,1.2788766090820403e-06
8.034941506615896,bad importance,0.3181466041274643,512,0.10038243913762422
7.9727360578778415,uniform importance,0.196412929533991,512,0.037980796333984004
8.013953546226364,shape importance,0.11005633234622206,512,0.011963709102991531
8.0,matched importance,0.0,512,0.0
7.999997973360539,stratified uniform,0.0003897507273336615,512,1.52488014553283e-07
