left,right,left_grade,right_grade,gp,wedge,left_contract,right_contract,dot_product,hestenes_inner
1,1,0,0,6,6,6,6,6,0
1,e2,0,1,2e2,2e2,2e2,0,2e2,0
1,e12,0,2,2e1^e2,2e1^e2,2e1^e2,0,2e1^e2,0
1,e23,0,2,2e2^e3,2e2^e3,2e2^e3,0,2e2^e3,0
1,I,0,3,2e1^e2^e3,2e1^e2^e3,2e1^e2^e3,0,2e1^e2^e3,0
e1,1,1,0,3e1,3e1,0,3e1,3e1,0
e1,e2,1,1,e1^e2,e1^e2,0,0,0,0
e1,e12,1,2,e2,0,e2,0,e2,e2
e1,e23,1,2,e1^e2^e3,e1^e2^e3,0,0,0,0
e1,I,1,3,e2^e3,0,e2^e3,0,e2^e3,e2^e3
e12,1,2,0,3e1^e2,3e1^e2,0,3e1^e2,3e1^e2,0
e12,e2,2,1,e1,0,0,e1,e1,e1
e12,e12,2,2,-1,0,-1,-1,-1,-1
e12,e23,2,2,e1^e3,0,0,0,0,0
e12,I,2,3,-e3,0,-e3,0,-e3,-e3
I,1,3,0,3e1^e2^e3,3e1^e2^e3,0,3e1^e2^e3,3e1^e2^e3,0
I,e2,3,1,-e1^e3,0,0,-e1^e3,-e1^e3,-e1^e3
I,e12,3,2,-e3,0,0,-e3,-e3,-e3
I,e23,3,2,-e1,0,0,-e1,-e1,-e1
I,I,3,3,-1,0,-1,-1,-1,-1
