hyperbolic_radius,klein_euclidean_radius,poincare_euclidean_radius,hyperbolic_area,klein_euclidean_disk_area,poincare_euclidean_disk_area
0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.379949,0.197375,0.509393,0.453524,0.122387
0.8,0.664037,0.379949,2.120166,1.385269,0.453524
1.2,0.833655,0.53705,5.093499,2.183344,0.906105
1.6,0.921669,0.664037,9.911502,2.668698,1.385269
2.0,0.964028,0.761594,17.355387,2.919637,1.822204
2.4,0.983675,0.833655,28.632143,3.039856,2.183344
2.8,0.992632,0.885352,45.570237,3.095466,2.46253
3.2,0.996682,0.921669,70.91609,3.120782,2.668698
