p,q,gcd,components,orbit_length,density,central_angle_degrees,vertex_angle_degrees,area_for_R_1
5,1,1,1,5,1,72.0,108.0,2.377641290737884
5,2,1,1,5,2,144.0,35.99999999999999,1.4694631307311827
6,1,1,1,6,1,60.0,120.00000000000001,2.5980762113533156
6,2,2,2,3,2,120.0,60.00000000000001,2.5980762113533165
7,1,1,1,7,1,51.42857142857143,128.57142857142858,2.7364101886381045
7,2,1,1,7,2,102.85714285714286,77.14285714285715,3.412247692636383
7,3,1,1,7,3,154.28571428571428,25.714285714285722,1.5185930869114537
8,1,1,1,8,1,45.0,135.0,2.8284271247461903
8,2,2,2,4,2,90.0,90.0,4.000000000000001
8,3,1,1,8,3,135.0,45.0,2.8284271247461907
9,1,1,1,9,1,40.0,140.0,2.8925442435894273
9,2,1,1,9,2,80.0,100.0,4.431634888554936
9,3,3,3,3,3,120.0,60.00000000000001,3.8971143170299745
9,4,1,1,9,4,160.0,20.000000000000007,1.5390906449655097
10,1,1,1,10,1,36.0,144.0,2.9389262614623655
10,2,2,2,5,2,72.0,108.0,4.755282581475768
10,3,1,1,10,3,108.0,72.0,4.755282581475768
10,4,2,2,5,4,144.0,35.99999999999999,2.9389262614623655
11,1,1,1,11,1,32.72727272727273,147.27272727272725,2.9735244960057865
11,2,1,1,11,2,65.45454545454545,114.54545454545455,5.002975974449851
11,3,1,1,11,3,98.18181818181819,81.81818181818183,5.44401793034513
11,4,1,1,11,4,130.9090909090909,49.090909090909086,4.156622658948421
11,5,1,1,11,5,163.63636363636363,16.36363636363637,1.5495290626278628
12,1,1,1,12,1,30.0,150.0,3.0
12,2,2,2,6,2,60.0,120.00000000000001,5.196152422706631
12,3,3,3,4,3,90.0,90.0,6.000000000000001
12,4,4,4,3,4,120.0,60.00000000000001,5.196152422706633
12,5,1,1,12,5,150.0,29.999999999999993,3.0
13,1,1,1,13,1,27.692307692307693,152.3076923076923,3.020700618284495
13,2,1,1,13,2,55.38461538461539,124.61538461538461,5.349395128308767
13,3,1,1,13,3,83.07692307692308,96.92307692307692,6.4526076816373505
13,4,1,1,13,4,110.76923076923077,69.23076923076923,6.077605577455198
13,5,1,1,13,5,138.46153846153845,41.53846153846153,4.3102972785651685
13,6,1,1,13,6,166.15384615384616,13.846153846153836,1.5555518178691248
14,1,1,1,14,1,25.714285714285715,154.2857142857143,3.037186173822907
14,2,2,2,7,2,51.42857142857143,128.57142857142858,5.472820377276209
14,3,1,1,14,3,77.14285714285714,102.85714285714285,6.824495385272765
14,4,2,2,7,4,102.85714285714286,77.14285714285715,6.824495385272766
14,5,1,1,14,5,128.57142857142858,51.42857142857142,5.47282037727621
14,6,2,2,7,6,154.28571428571428,25.714285714285722,3.0371861738229073
15,1,1,1,15,1,24.0,156.0,3.0505248230685016
15,2,1,1,15,2,48.0,132.0,5.573586191080456
15,3,3,3,5,3,72.0,108.0,7.132923872213652
15,4,1,1,15,4,96.0,84.0,7.458914215262049
15,5,5,5,3,5,120.0,60.00000000000001,6.495190528383291
15,6,3,3,5,6,144.0,35.99999999999999,4.408389392193548
15,7,1,1,15,7,168.0,11.999999999999996,1.5593376811331947
16,1,1,1,16,1,22.5,157.5,3.061467458920718
16,2,2,2,8,2,45.0,135.0,5.656854249492381
16,3,1,1,16,3,67.5,112.5,7.391036260090293
16,4,4,4,4,4,90.0,90.0,8.000000000000002
16,5,1,1,16,5,112.5,67.5,7.391036260090295
16,6,2,2,8,6,135.0,45.0,5.6568542494923815
16,7,1,1,16,7,157.5,22.5,3.061467458920719
