p,q,r,symbol,facet_ok,vertex_figure_ok,margin,classification
3,3,3,"{3,3,3}",True,True,0.24999999999999978,spherical-finite
3,3,4,"{3,3,4}",True,True,0.11237243569579447,spherical-finite
3,3,5,"{3,3,5}",True,True,0.00903696045512703,spherical-finite
3,3,6,"{3,3,6}",True,False,-0.06698729810778087,local-invalid
3,3,7,"{3,3,7}",True,False,-0.12424565963521483,local-invalid
3,3,8,"{3,3,8}",True,False,-0.16858642596440832,local-invalid
3,4,3,"{3,4,3}",True,True,0.042893218813452316,spherical-finite
3,4,4,"{3,4,4}",True,False,-0.09473434549075299,local-invalid
3,4,5,"{3,4,5}",True,False,-0.19806982073142043,local-invalid
3,4,6,"{3,4,6}",True,False,-0.27409407929432833,local-invalid
3,4,7,"{3,4,7}",True,False,-0.3313524408217623,local-invalid
3,4,8,"{3,4,8}",True,False,-0.3756932071509558,local-invalid
3,5,3,"{3,5,3}",True,True,-0.05901699437494756,hyperbolic-candidate
3,5,4,"{3,5,4}",True,False,-0.19664455867915287,local-invalid
3,5,5,"{3,5,5}",True,False,-0.2999800339198203,local-invalid
3,5,6,"{3,5,6}",True,False,-0.3760042924827282,local-invalid
3,5,7,"{3,5,7}",True,False,-0.4332626540101622,local-invalid
3,5,8,"{3,5,8}",True,False,-0.47760342033935566,local-invalid
4,3,3,"{4,3,3}",True,True,0.11237243569579447,spherical-finite
4,3,4,"{4,3,4}",True,True,0.0,euclidean-honeycomb
4,3,5,"{4,3,5}",True,True,-0.08437306222254665,hyperbolic-candidate
4,3,6,"{4,3,6}",True,False,-0.14644660940672638,local-invalid
4,3,7,"{4,3,7}",True,False,-0.19319786582339987,local-invalid
4,3,8,"{4,3,8}",True,False,-0.2294019499269016,local-invalid
4,4,3,"{4,4,3}",False,True,-0.09473434549075299,local-invalid
4,4,4,"{4,4,4}",False,False,-0.20710678118654746,local-invalid
4,4,5,"{4,4,5}",False,False,-0.2914798434090941,local-invalid
4,4,6,"{4,4,6}",False,False,-0.35355339059327384,local-invalid
4,4,7,"{4,4,7}",False,False,-0.40030464700994733,local-invalid
4,4,8,"{4,4,8}",False,False,-0.43650873111344907,local-invalid
4,5,3,"{4,5,3}",False,True,-0.19664455867915287,local-invalid
4,5,4,"{4,5,4}",False,False,-0.30901699437494734,local-invalid
4,5,5,"{4,5,5}",False,False,-0.393390056597494,local-invalid
4,5,6,"{4,5,6}",False,False,-0.4554636037816737,local-invalid
4,5,7,"{4,5,7}",False,False,-0.5022148601983472,local-invalid
4,5,8,"{4,5,8}",False,False,-0.538418944301849,local-invalid
5,3,3,"{5,3,3}",True,True,0.00903696045512703,spherical-finite
5,3,4,"{5,3,4}",True,True,-0.08437306222254665,hyperbolic-candidate
5,3,5,"{5,3,5}",True,True,-0.15450849718747384,hyperbolic-candidate
5,3,6,"{5,3,6}",True,False,-0.2061073738537636,local-invalid
5,3,7,"{5,3,7}",True,False,-0.2449695369371846,local-invalid
5,3,8,"{5,3,8}",True,False,-0.27506432215913623,local-invalid
5,4,3,"{5,4,3}",False,True,-0.19806982073142043,local-invalid
5,4,4,"{5,4,4}",False,False,-0.2914798434090941,local-invalid
5,4,5,"{5,4,5}",False,False,-0.3616152783740213,local-invalid
5,4,6,"{5,4,6}",False,False,-0.41321415504031106,local-invalid
5,4,7,"{5,4,7}",False,False,-0.45207631812373206,local-invalid
5,4,8,"{5,4,8}",False,False,-0.4821711033456837,local-invalid
5,5,3,"{5,5,3}",False,True,-0.2999800339198203,local-invalid
5,5,4,"{5,5,4}",False,False,-0.393390056597494,local-invalid
5,5,5,"{5,5,5}",False,False,-0.4635254915624212,local-invalid
5,5,6,"{5,5,6}",False,False,-0.515124368228711,local-invalid
5,5,7,"{5,5,7}",False,False,-0.5539865313121319,local-invalid
5,5,8,"{5,5,8}",False,False,-0.5840813165340836,local-invalid
6,3,3,"{6,3,3}",False,True,-0.06698729810778087,local-invalid
6,3,4,"{6,3,4}",False,True,-0.14644660940672638,local-invalid
6,3,5,"{6,3,5}",False,True,-0.2061073738537636,local-invalid
6,3,6,"{6,3,6}",False,False,-0.25000000000000017,local-invalid
6,3,7,"{6,3,7}",False,False,-0.2830581304412211,local-invalid
6,3,8,"{6,3,8}",False,False,-0.30865828381745525,local-invalid
6,4,3,"{6,4,3}",False,True,-0.27409407929432833,local-invalid
6,4,4,"{6,4,4}",False,False,-0.35355339059327384,local-invalid
6,4,5,"{6,4,5}",False,False,-0.41321415504031106,local-invalid
6,4,6,"{6,4,6}",False,False,-0.45710678118654763,local-invalid
6,4,7,"{6,4,7}",False,False,-0.49016491162776854,local-invalid
6,4,8,"{6,4,8}",False,False,-0.5157650650040027,local-invalid
6,5,3,"{6,5,3}",False,True,-0.3760042924827282,local-invalid
6,5,4,"{6,5,4}",False,False,-0.4554636037816737,local-invalid
6,5,5,"{6,5,5}",False,False,-0.515124368228711,local-invalid
6,5,6,"{6,5,6}",False,False,-0.5590169943749475,local-invalid
6,5,7,"{6,5,7}",False,False,-0.5920751248161684,local-invalid
6,5,8,"{6,5,8}",False,False,-0.6176752781924026,local-invalid
7,3,3,"{7,3,3}",False,True,-0.12424565963521483,local-invalid
7,3,4,"{7,3,4}",False,True,-0.19319786582339987,local-invalid
7,3,5,"{7,3,5}",False,True,-0.2449695369371846,local-invalid
7,3,6,"{7,3,6}",False,False,-0.2830581304412211,local-invalid
7,3,7,"{7,3,7}",False,False,-0.3117449009293669,local-invalid
7,3,8,"{7,3,8}",False,False,-0.33395988146709377,local-invalid
7,4,3,"{7,4,3}",False,True,-0.3313524408217623,local-invalid
7,4,4,"{7,4,4}",False,False,-0.40030464700994733,local-invalid
7,4,5,"{7,4,5}",False,False,-0.45207631812373206,local-invalid
7,4,6,"{7,4,6}",False,False,-0.49016491162776854,local-invalid
7,4,7,"{7,4,7}",False,False,-0.5188516821159144,local-invalid
7,4,8,"{7,4,8}",False,False,-0.5410666626536412,local-invalid
7,5,3,"{7,5,3}",False,True,-0.4332626540101622,local-invalid
7,5,4,"{7,5,4}",False,False,-0.5022148601983472,local-invalid
7,5,5,"{7,5,5}",False,False,-0.5539865313121319,local-invalid
7,5,6,"{7,5,6}",False,False,-0.5920751248161684,local-invalid
7,5,7,"{7,5,7}",False,False,-0.6207618953043142,local-invalid
7,5,8,"{7,5,8}",False,False,-0.6429768758420411,local-invalid
8,3,3,"{8,3,3}",False,True,-0.16858642596440832,local-invalid
8,3,4,"{8,3,4}",False,True,-0.2294019499269016,local-invalid
8,3,5,"{8,3,5}",False,True,-0.27506432215913623,local-invalid
8,3,6,"{8,3,6}",False,False,-0.30865828381745525,local-invalid
8,3,7,"{8,3,7}",False,False,-0.33395988146709377,local-invalid
8,3,8,"{8,3,8}",False,False,-0.35355339059327384,local-invalid
8,4,3,"{8,4,3}",False,True,-0.3756932071509558,local-invalid
8,4,4,"{8,4,4}",False,False,-0.43650873111344907,local-invalid
8,4,5,"{8,4,5}",False,False,-0.4821711033456837,local-invalid
8,4,6,"{8,4,6}",False,False,-0.5157650650040027,local-invalid
8,4,7,"{8,4,7}",False,False,-0.5410666626536412,local-invalid
8,4,8,"{8,4,8}",False,False,-0.5606601717798213,local-invalid
8,5,3,"{8,5,3}",False,True,-0.47760342033935566,local-invalid
8,5,4,"{8,5,4}",False,False,-0.538418944301849,local-invalid
8,5,5,"{8,5,5}",False,False,-0.5840813165340836,local-invalid
8,5,6,"{8,5,6}",False,False,-0.6176752781924026,local-invalid
8,5,7,"{8,5,7}",False,False,-0.6429768758420411,local-invalid
8,5,8,"{8,5,8}",False,False,-0.6625703849682212,local-invalid
