t,determinant,rank,nullity,is_isomorphism
-2.0,-2.0,3,0,True
-1.95,-1.95,3,0,True
-1.9,-1.9,3,0,True
-1.85,-1.85,3,0,True
-1.8,-1.8,3,0,True
-1.75,-1.75,3,0,True
-1.7,-1.7,3,0,True
-1.65,-1.65,3,0,True
-1.6,-1.6,3,0,True
-1.55,-1.55,3,0,True
-1.5,-1.5,3,0,True
-1.45,-1.45,3,0,True
-1.4,-1.4,3,0,True
-1.35,-1.35,3,0,True
-1.2999999999999998,-1.2999999999999998,3,0,True
-1.25,-1.25,3,0,True
-1.2,-1.2,3,0,True
-1.15,-1.15,3,0,True
-1.1,-1.1,3,0,True
-1.0499999999999998,-1.0499999999999998,3,0,True
-1.0,-1.0,3,0,True
-0.95,-0.95,3,0,True
-0.8999999999999999,-0.8999999999999999,3,0,True
-0.8499999999999999,-0.8499999999999999,3,0,True
-0.7999999999999998,-0.7999999999999998,3,0,True
-0.75,-0.75,3,0,True
-0.7,-0.7,3,0,True
-0.6499999999999999,-0.6499999999999999,3,0,True
-0.5999999999999999,-0.5999999999999999,3,0,True
-0.5499999999999998,-0.5499999999999998,3,0,True
-0.5,-0.5,3,0,True
-0.44999999999999996,-0.44999999999999996,3,0,True
-0.3999999999999999,-0.3999999999999999,3,0,True
-0.34999999999999987,-0.34999999999999987,3,0,True
-0.2999999999999998,-0.2999999999999998,3,0,True
-0.25,-0.25,3,0,True
-0.19999999999999996,-0.19999999999999998,3,0,True
-0.1499999999999999,-0.1499999999999999,3,0,True
-0.09999999999999987,-0.09999999999999984,3,0,True
-0.04999999999999982,-0.04999999999999983,3,0,True
0.0,0.0,2,1,False
0.050000000000000266,0.05000000000000027,3,0,True
0.10000000000000009,0.10000000000000006,3,0,True
0.1499999999999999,0.1499999999999999,3,0,True
0.20000000000000018,0.2000000000000002,3,0,True
0.25,0.25,3,0,True
0.30000000000000027,0.3000000000000003,3,0,True
0.3500000000000001,0.3500000000000001,3,0,True
0.40000000000000036,0.40000000000000036,3,0,True
0.4500000000000002,0.4500000000000002,3,0,True
0.5,0.5,3,0,True
0.5500000000000003,0.5500000000000003,3,0,True
0.6000000000000001,0.6000000000000001,3,0,True
0.6500000000000004,0.6500000000000004,3,0,True
0.7000000000000002,0.7000000000000002,3,0,True
0.75,0.75,3,0,True
0.8000000000000003,0.8000000000000003,3,0,True
0.8500000000000001,0.8500000000000001,3,0,True
0.9000000000000004,0.9000000000000004,3,0,True
0.9500000000000002,0.9500000000000002,3,0,True
1.0,1.0,3,0,True
1.0500000000000003,1.0500000000000003,3,0,True
1.1,1.1,3,0,True
1.1500000000000004,1.1500000000000004,3,0,True
1.2000000000000002,1.2000000000000002,3,0,True
1.25,1.25,3,0,True
1.3000000000000003,1.3000000000000003,3,0,True
1.35,1.35,3,0,True
1.4000000000000004,1.4000000000000004,3,0,True
1.4500000000000002,1.4500000000000002,3,0,True
1.5,1.5,3,0,True
1.5500000000000003,1.5500000000000003,3,0,True
1.6,1.6,3,0,True
1.6500000000000004,1.6500000000000004,3,0,True
1.7000000000000002,1.7000000000000002,3,0,True
1.75,1.75,3,0,True
1.8000000000000003,1.8000000000000003,3,0,True
1.85,1.85,3,0,True
1.9000000000000004,1.9000000000000004,3,0,True
1.9500000000000002,1.9500000000000002,3,0,True
2.0,2.0,3,0,True
